Id,Class
33,"1 Cent,Australian dollar,australia"
34,"1 4 Dollar,US Dollar,usa"
35,"1 Cent,Australian dollar,australia"
36,"1 Cent,Australian dollar,australia"
69,"1 Dollar,Australian dollar,australia"
70,"2 Cents,Australian dollar,australia"
71,"2 Euro,Euro,cyprus"
72,"2 Cents,Australian dollar,australia"
103,"5 Cents,Australian dollar,australia"
104,"5 Cents,Australian dollar,australia"
105,"5 Cents,Australian dollar,australia"
106,"10 Cents,New Zealand dollar,new_zealand"
137,"10 Cents,Australian dollar,australia"
138,"10 Cents,Australian dollar,australia"
139,"10 Cents,Australian dollar,australia"
140,"10 Cents,Australian dollar,australia"
168,"20 Cents,Australian dollar,australia"
169,"50 Ore,Swedish Krona,sweden"
170,"5 Cents,Canadian Dollar,canada"
199,"50 Cents,Australian dollar,australia"
200,"50 Cents,Australian dollar,australia"
201,"50 Cents,Australian dollar,australia"
202,"50 Cents,Australian dollar,australia"
235,"1 Ruble,Russian Ruble,russia"
236,"1 Dollar,Australian dollar,australia"
237,"1 Dollar,Australian dollar,australia"
238,"20 Cents,Euro,austria"
271,"2 Dollars,Australian dollar,australia"
272,"1 Cent,Canadian Dollar,canada"
273,"5 Groszy,Polish Zloty,poland"
274,"2 Dollars,Australian dollar,australia"
307,"1 Centavo,Brazilian Real,brazil"
308,"10 Centavos,Brazilian Real,brazil"
309,"5 Rand,South African Rand,south_africa"
310,"2 Euro,Euro,finland"
343,"5 Centavos,Brazilian Real,brazil"
344,"50 Cents,Euro,malta"
345,"5 Centavos,Brazilian Real,brazil"
346,"5 Centavos,Brazilian Real,brazil"
379,"10 Centavos,Brazilian Real,brazil"
380,"10 Centavos,Brazilian Real,brazil"
381,"10 Centavos,Brazilian Real,brazil"
382,"10 Centavos,Brazilian Real,brazil"
415,"25 Centavos,Brazilian Real,brazil"
416,"2 Cents,Euro,malta"
417,"25 Centavos,Brazilian Real,brazil"
418,"25 Centavos,Brazilian Real,brazil"
451,"1 Real,Brazilian Real,brazil"
452,"1 Real,Brazilian Real,brazil"
453,"1 Real,Brazilian Real,brazil"
454,"1 Real,Brazilian Real,brazil"
487,"2 Pence,British Pound,united_kingdom"
488,"1 Penny,British Pound,united_kingdom"
489,"1 Penny,British Pound,united_kingdom"
490,"1 Penny,British Pound,united_kingdom"
523,"2 Pence,British Pound,united_kingdom"
524,"2 Pence,British Pound,united_kingdom"
525,"2 Pence,British Pound,united_kingdom"
526,"2 Pence,British Pound,united_kingdom"
558,"5 Pence,British Pound,united_kingdom"
559,"50 Pence,British Pound,united_kingdom"
560,"1 Piso,Philipine peso,philippines"
561,"5 Pence,British Pound,united_kingdom"
594,"10 Pence,British Pound,united_kingdom"
595,"10 Pence,British Pound,united_kingdom"
596,"1 Zloty,Polish Zloty,poland"
597,"1 Pound,British Pound,united_kingdom"
652,"20 Pence,British Pound,united_kingdom"
653,"20 Pence,British Pound,united_kingdom"
654,"20 Pence,British Pound,united_kingdom"
655,"20 Pence,British Pound,united_kingdom"
656,"20 Pence,British Pound,united_kingdom"
657,"20 Pence,British Pound,united_kingdom"
712,"50 Pence,British Pound,united_kingdom"
713,"50 Pence,British Pound,united_kingdom"
714,"50 Pence,British Pound,united_kingdom"
715,"50 Pence,British Pound,united_kingdom"
716,"50 Pence,British Pound,united_kingdom"
717,"50 Pence,British Pound,united_kingdom"
772,"1 Pound,British Pound,united_kingdom"
773,"1 Pound,British Pound,united_kingdom"
774,"1 Pound,British Pound,united_kingdom"
775,"1 Pound,British Pound,united_kingdom"
776,"20 Cents,Euro,finland"
777,"1 Pound,British Pound,united_kingdom"
832,"2 Pounds,British Pound,united_kingdom"
833,"2 Pounds,British Pound,united_kingdom"
834,"2 Pounds,British Pound,united_kingdom"
835,"2 Pounds,British Pound,united_kingdom"
836,"2 Pounds,British Pound,united_kingdom"
837,"1 Euro,Euro,estonia"
892,"1 Cent,Canadian Dollar,canada"
893,"1 Cent,Canadian Dollar,canada"
894,"1 Cent,Canadian Dollar,canada"
895,"1 Cent,Canadian Dollar,canada"
896,"50 Cents,Euro,italy"
897,"1 Cent,Canadian Dollar,canada"
952,"5 Cents,Canadian Dollar,canada"
953,"5 Cents,Canadian Dollar,canada"
954,"10 Cents,Canadian Dollar,canada"
955,"5 Cents,Canadian Dollar,canada"
956,"5 Cents,Canadian Dollar,canada"
957,"5 Cents,Canadian Dollar,canada"
1012,"10 Cents,Canadian Dollar,canada"
1013,"10 Cents,Canadian Dollar,canada"
1014,"10 Cents,Canadian Dollar,canada"
1015,"10 Cents,Canadian Dollar,canada"
1016,"10 Cents,Canadian Dollar,canada"
1017,"10 Forint,Hungarian Forint,hungary"
1072,"25 Cents,Canadian Dollar,canada"
1073,"25 Cents,Canadian Dollar,canada"
1074,"25 Cents,Canadian Dollar,canada"
1075,"5 Cents,Canadian Dollar,canada"
1076,"5 Cents,Canadian Dollar,canada"
1077,"25 Cents,Canadian Dollar,canada"
1132,"25 Cents,Canadian Dollar,canada"
1133,"50 Cents,Canadian Dollar,canada"
1134,"50 Cents,Canadian Dollar,canada"
1135,"50 Cents,Canadian Dollar,canada"
1136,"500 Won,Korean Won,south_korea"
1137,"50 Cents,Canadian Dollar,canada"
1192,"1 Dollar,Canadian Dollar,canada"
1193,"1 Dollar,Canadian Dollar,canada"
1194,"1 Cent,Canadian Dollar,canada"
1195,"1 Cent,Canadian Dollar,canada"
1196,"1 Dollar,Canadian Dollar,canada"
1197,"1 Cent,Canadian Dollar,canada"
1252,"2 Dollars,Canadian Dollar,canada"
1253,"2 Dollars,Canadian Dollar,canada"
1254,"2 Dollars,Canadian Dollar,canada"
1255,"2 Dollars,Canadian Dollar,canada"
1256,"2 Dollars,Canadian Dollar,canada"
1257,"2 Dollars,Canadian Dollar,canada"
1312,"1 Zloty,Polish Zloty,poland"
1313,"10 Ore,Swedish Krona,sweden"
1314,"1 Peso,Chilean Peso,chile"
1315,"50 Rupiah,Indonesian Rupiah,indonesia"
1316,"1 Zloty,Polish Zloty,poland"
1317,"1 Peso,Chilean Peso,chile"
1372,"5 Pesos,Chilean Peso,chile"
1373,"5 Pesos,Chilean Peso,chile"
1374,"5 Pesos,Chilean Peso,chile"
1375,"5 Senti,Estonian kroon,Estonia"
1376,"5 Pesos,Chilean Peso,chile"
1377,"5 Pesos,Chilean Peso,chile"
1432,"5 Pesos,Chilean Peso,chile"
1433,"10 Pesos,Chilean Peso,chile"
1434,"20 Cents,Euro,cyprus"
1435,"5 Pesos,Chilean Peso,chile"
1436,"10 Pesos,Chilean Peso,chile"
1437,"5 Pesos,Chilean Peso,chile"
1492,"1 Peso,Chilean Peso,chile"
1493,"5 Senti,Estonian kroon,Estonia"
1494,"50 Pesos,Chilean Peso,chile"
1495,"50 Pesos,Chilean Peso,chile"
1496,"50 Pesos,Chilean Peso,chile"
1497,"50 Pesos,Chilean Peso,chile"
1552,"100 Pesos,Chilean Peso,chile"
1553,"100 Pesos,Chilean Peso,chile"
1554,"100 Pesos,Chilean Peso,chile"
1555,"100 Pesos,Chilean Peso,chile"
1556,"100 Pesos,Chilean Peso,chile"
1557,"100 Pesos,Chilean Peso,chile"
1611,"500 Pesos,Chilean Peso,chile"
1612,"500 Pesos,Chilean Peso,chile"
1613,"500 Pesos,Chilean Peso,chile"
1614,"1 Satang,Thai Baht,thailand"
1615,"500 Pesos,Chilean Peso,chile"
1616,"500 Pesos,Chilean Peso,chile"
1671,"1 Jiao,Chinese Yuan Renminbi,china"
1672,"1 Jiao,Chinese Yuan Renminbi,china"
1673,"1 Jiao,Chinese Yuan Renminbi,china"
1674,"1 Jiao,Chinese Yuan Renminbi,china"
1675,"1 Jiao,Chinese Yuan Renminbi,china"
1676,"1 Jiao,Chinese Yuan Renminbi,china"
1731,"1 Dime,US Dollar,usa"
1732,"5 Jiao,Chinese Yuan Renminbi,china"
1733,"5 Jiao,Chinese Yuan Renminbi,china"
1734,"1 Rappen,Swiss Franc,switzerland"
1735,"5 Jiao,Chinese Yuan Renminbi,china"
1736,"5 Jiao,Chinese Yuan Renminbi,china"
1791,"1 Sentimo,Philipine peso,philippines"
1792,"1 Yuan,Chinese Yuan Renminbi,china"
1793,"1 Yuan,Chinese Yuan Renminbi,china"
1794,"1 Sentimo,Philipine peso,philippines"
1795,"1 Yuan,Chinese Yuan Renminbi,china"
1796,"1 Yuan,Chinese Yuan Renminbi,china"
1851,"10 Hellers,Czech Koruna,czech_republic"
1852,"10 Hellers,Czech Koruna,czech_republic"
1853,"10 Hellers,Czech Koruna,czech_republic"
1854,"10 Hellers,Czech Koruna,czech_republic"
1855,"10 Hellers,Czech Koruna,czech_republic"
1856,"10 Hellers,Czech Koruna,czech_republic"
1911,"20 Hellers,Czech Koruna,czech_republic"
1912,"20 Hellers,Czech Koruna,czech_republic"
1913,"2 Koruny,Czech Koruna,czech_republic"
1914,"20 Hellers,Czech Koruna,czech_republic"
1915,"20 Hellers,Czech Koruna,czech_republic"
1916,"20 Hellers,Czech Koruna,czech_republic"
1971,"50 Hellers,Czech Koruna,czech_republic"
1972,"50 Hellers,Czech Koruna,czech_republic"
1973,"5 Kronor,Swedish Krona,sweden"
1974,"50 Hellers,Czech Koruna,czech_republic"
1975,"50 Hellers,Czech Koruna,czech_republic"
1976,"50 Hellers,Czech Koruna,czech_republic"
2031,"1 Koruna,Czech Koruna,czech_republic"
2032,"1 Koruna,Czech Koruna,czech_republic"
2033,"1 Koruna,Czech Koruna,czech_republic"
2034,"1 Koruna,Czech Koruna,czech_republic"
2035,"1 Koruna,Czech Koruna,czech_republic"
2036,"1 Koruna,Czech Koruna,czech_republic"
2091,"2 Koruny,Czech Koruna,czech_republic"
2092,"2 Koruny,Czech Koruna,czech_republic"
2093,"2 Koruny,Czech Koruna,czech_republic"
2094,"2 Koruny,Czech Koruna,czech_republic"
2095,"2 Koruny,Czech Koruna,czech_republic"
2096,"2 Koruny,Czech Koruna,czech_republic"
2151,"5 Korun,Czech Koruna,czech_republic"
2152,"5 Korun,Czech Koruna,czech_republic"
2153,"5 Korun,Czech Koruna,czech_republic"
2154,"5 Korun,Czech Koruna,czech_republic"
2155,"5 Korun,Czech Koruna,czech_republic"
2156,"5 Korun,Czech Koruna,czech_republic"
2211,"10 Korun,Czech Koruna,czech_republic"
2212,"10 Korun,Czech Koruna,czech_republic"
2213,"50 Cents,Euro,greece"
2214,"10 Korun,Czech Koruna,czech_republic"
2215,"10 Korun,Czech Koruna,czech_republic"
2216,"10 Korun,Czech Koruna,czech_republic"
2249,"50 Hellers,Czech Koruna,czech_republic"
2250,"20 Korun,Czech Koruna,czech_republic"
2251,"20 Korun,Czech Koruna,czech_republic"
2252,"20 Korun,Czech Koruna,czech_republic"
2285,"20 Cents,Euro,finland"
2286,"50 Korun,Czech Koruna,czech_republic"
2287,"50 Korun,Czech Koruna,czech_republic"
2288,"50 Korun,Czech Koruna,czech_republic"
2320,"1 Cent,US Dollar,usa"
2321,"25 Ore,Danish Krone,denmark"
2322,"50 Ore,Danish Krone,denmark"
2323,"50 Ore,Danish Krone,denmark"
2356,"10 Cents,South African Rand,south_africa"
2357,"50 Ore,Danish Krone,denmark"
2358,"50 Ore,Danish Krone,denmark"
2359,"50 Ore,Danish Krone,denmark"
2392,"1 Krone,Danish Krone,denmark"
2393,"1 Krone,Danish Krone,denmark"
2394,"2 Kroner,Danish Krone,denmark"
2395,"2 Kroner,Danish Krone,denmark"
2428,"2 Kroner,Danish Krone,denmark"
2429,"2 Kroner,Danish Krone,denmark"
2430,"2 Kroner,Danish Krone,denmark"
2431,"2 Kroner,Danish Krone,denmark"
2464,"50 Yen,Japanese Yen,japan"
2465,"2 Kroner,Danish Krone,denmark"
2466,"10 Dollars,taiwan Dollar,taiwan"
2467,"2 Kroner,Danish Krone,denmark"
2500,"5 Senti,Estonian kroon,Estonia"
2501,"10 Kroner,Danish Krone,denmark"
2502,"10 Kroner,Danish Krone,denmark"
2503,"10 Kroner,Danish Krone,denmark"
2536,"20 Kroner,Danish Krone,denmark"
2537,"20 Kroner,Danish Krone,denmark"
2538,"20 Kroner,Danish Krone,denmark"
2539,"10 Kronor,Swedish Krona,sweden"
2572,"2 Cents,Euro,spain"
2573,"1 euro Cent,Euro,spain"
2574,"2 Cents,Euro,spain"
2575,"2 Cents,Euro,spain"
2608,"2 Euro,Euro,spain"
2609,"50 Cents,Euro,spain"
2610,"1 euro Cent,Euro,spain"
2611,"2 Cents,Euro,spain"
2644,"5 euro Cent,Euro,spain"
2645,"5 euro Cent,Euro,spain"
2646,"5 euro Cent,Euro,spain"
2647,"2 Cents,Euro,spain"
2680,"20 euro Cent,Euro,spain"
2681,"50 euro Cent,Euro,spain"
2682,"50 euro Cent,Euro,spain"
2683,"10 euro Cent,Euro,spain"
2716,"20 euro Cent,Euro,spain"
2717,"20 euro Cent,Euro,spain"
2718,"20 euro Cent,Euro,spain"
2719,"20 euro Cent,Euro,spain"
2752,"50 euro Cent,Euro,spain"
2753,"50 euro Cent,Euro,spain"
2754,"50 Cents,Euro,spain"
2755,"50 euro Cent,Euro,spain"
2810,"1 euro Cent,Euro,spain"
2811,"2 Cents,Euro,spain"
2812,"1 euro Cent,Euro,spain"
2813,"5 euro Cent,Euro,spain"
2814,"1 Real,Brazilian Real,brazil"
2815,"1 Euro,Euro,spain"
2816,"1 Euro,Euro,austria"
2872,"50 Dram,Armenian dram,Armenia"
2873,"2 Dollars,Hong Kong dollar,hong_kong"
2874,"10 Dollars,taiwan Dollar,taiwan"
2875,"5 euro Cent,Euro,spain"
2876,"2 Euro,Euro,spain"
2877,"2 Cents,Euro,spain"
2878,"2 Euro,Euro,slovakia"
2911,"50 Won,Korean Won,south_korea"
2912,"2 Dollars,Hong Kong dollar,hong_kong"
2913,"2 Cents,Euro,luxembourg"
2914,"10 Cents,Hong Kong dollar,hong_kong"
2947,"50 Cents,Hong Kong dollar,hong_kong"
2948,"50 Cents,Hong Kong dollar,hong_kong"
2949,"50 Cents,Hong Kong dollar,hong_kong"
2950,"50 Cents,Hong Kong dollar,hong_kong"
2983,"1 Dollar,Hong Kong dollar,hong_kong"
2984,"1 Dollar,Hong Kong dollar,hong_kong"
2985,"1 Dollar,Hong Kong dollar,hong_kong"
2986,"1 Dollar,Hong Kong dollar,hong_kong"
3017,"2 Dollars,Hong Kong dollar,hong_kong"
3018,"5 Dollars,Hong Kong dollar,hong_kong"
3019,"2 Dollars,Hong Kong dollar,hong_kong"
3020,"1 Zloty,Polish Zloty,poland"
3053,"5 Dollars,Hong Kong dollar,hong_kong"
3054,"5 Dollars,Hong Kong dollar,hong_kong"
3055,"5 Dollars,Hong Kong dollar,hong_kong"
3056,"5 Dollars,Hong Kong dollar,hong_kong"
3089,"1 Forint,Hungarian Forint,hungary"
3090,"1 Forint,Hungarian Forint,hungary"
3091,"1 Forint,Hungarian Forint,hungary"
3092,"1 Forint,Hungarian Forint,hungary"
3125,"2 Forint,Hungarian Forint,hungary"
3126,"10 Forint,Hungarian Forint,hungary"
3127,"25 Cents,Canadian Dollar,canada"
3128,"2 Forint,Hungarian Forint,hungary"
3161,"10 Kroner,Norwegian Krone,norway"
3162,"1 Kroon,Estonian kroon,Estonia"
3163,"5 Forint,Hungarian Forint,hungary"
3164,"20 Cents,Euro,germany"
3197,"10 Forint,Hungarian Forint,hungary"
3198,"10 Forint,Hungarian Forint,hungary"
3199,"10 Forint,Hungarian Forint,hungary"
3200,"10 Forint,Hungarian Forint,hungary"
3233,"50 Cents,Euro,netherlands"
3234,"20 Forint,Hungarian Forint,hungary"
3235,"20 Forint,Hungarian Forint,hungary"
3236,"20 Forint,Hungarian Forint,hungary"
3269,"50 Forint,Hungarian Forint,hungary"
3270,"50 Forint,Hungarian Forint,hungary"
3271,"50 Forint,Hungarian Forint,hungary"
3272,"20 Forint,Hungarian Forint,hungary"
3305,"10 New Sheqalim,Israeli New Shekel,israel"
3306,"1 2 Franc,Swiss Franc,switzerland"
3307,"5 Dollars,taiwan Dollar,taiwan"
3308,"5 Rand,South African Rand,south_africa"
3341,"5 Baht,Thai Baht,thailand"
3342,"1 Euro,Euro,germany"
3343,"200 Forint,Hungarian Forint,hungary"
3344,"200 Forint,Hungarian Forint,hungary"
3377,"25 Paise,Indian Rupee,india"
3378,"10 Ore,Swedish Krona,sweden"
3379,"25 Paise,Indian Rupee,india"
3380,"25 Paise,Indian Rupee,india"
3413,"2 Francs,Swiss Franc,switzerland"
3414,"2 Francs,Swiss Franc,switzerland"
3415,"25 Paise,Indian Rupee,india"
3416,"50 Paise,Indian Rupee,india"
3449,"1 Rupee,Indian Rupee,india"
3450,"2 Koruny,Czech Koruna,czech_republic"
3451,"1 Rappen,Swiss Franc,switzerland"
3452,"1 Rupee,Indian Rupee,india"
3485,"2 Rupees,Indian Rupee,india"
3486,"2 Rupees,Indian Rupee,india"
3487,"2 Rupees,Indian Rupee,india"
3488,"2 Rupees,Indian Rupee,india"
3521,"5 Rupees,Indian Rupee,india"
3522,"5 Rupees,Indian Rupee,india"
3523,"5 Rupees,Indian Rupee,india"
3524,"5 Rupees,Indian Rupee,india"
3557,"10 Rupees,Indian Rupee,india"
3558,"10 Rupees,Indian Rupee,india"
3559,"10 Rupees,Indian Rupee,india"
3560,"10 Rupees,Indian Rupee,india"
3593,"2 Cents,Euro,latvia"
3594,"50 Rupiah,Indonesian Rupiah,indonesia"
3595,"50 Rupiah,Indonesian Rupiah,indonesia"
3596,"50 Rupiah,Indonesian Rupiah,indonesia"
3629,"50 Rupiah,Indonesian Rupiah,indonesia"
3630,"100 Rupiah,Indonesian Rupiah,indonesia"
3631,"100 Rupiah,Indonesian Rupiah,indonesia"
3632,"100 Rupiah,Indonesian Rupiah,indonesia"
3665,"5 Korun,Czech Koruna,czech_republic"
3666,"200 Rupiah,Indonesian Rupiah,indonesia"
3667,"200 Rupiah,Indonesian Rupiah,indonesia"
3668,"200 Rupiah,Indonesian Rupiah,indonesia"
3701,"500 Rupiah,Indonesian Rupiah,indonesia"
3702,"500 Rupiah,Indonesian Rupiah,indonesia"
3703,"100 Rupiah,Indonesian Rupiah,indonesia"
3704,"500 Rupiah,Indonesian Rupiah,indonesia"
3737,"10 Baht,Thai Baht,thailand"
3738,"1000 Rupiah,Indonesian Rupiah,indonesia"
3739,"10 New Sheqalim,Israeli New Shekel,israel"
3740,"50 Hellers,Czech Koruna,czech_republic"
3773,"5 Senti,Estonian kroon,Estonia"
3774,"1 Cent,Canadian Dollar,canada"
3775,"5 Agorot,Israeli New Shekel,israel"
3776,"5 Agorot,Israeli New Shekel,israel"
3809,"10 Agorot,Israeli New Shekel,israel"
3810,"5 Sentimos,Philipine peso,philippines"
